SombraSilente,Yo soy Sombra Silente,3
SombraSilente,Caballo sin horizonte sin contorno sin color,4
SombraSilente,No veo el mundo que pisan mis cascos,3
SombraSilente,pero lo siento como un susurro constante bajo mi piel,3
SombraSilente,La oscuridad no me limita me define,3
SombraSilente,No temo a la niebla pues ella es mi única visión,3
SombraSilente,No sigo luces sigo vibraciones,3
SombraSilente,El eco de los pasos ajenos guía mi camino,4
SombraSilente,Cada movimiento es un acto de fe,3
SombraSilente,una conversación entre mi alma y el terreno incierto,4
SombraSilente,He aprendido a confiar en lo invisible,3
SombraSilente,a conocer sin mirar a amar sin imagen,4
SombraSilente,Muchos creen que carezco de destino,3
SombraSilente,pero yo camino entre dimensiones que ellos no pueden tocar,4
SombraSilente,Mi noche no es castigo es portal,3
SombraSilente,Desde ella contemplo el silencio puro del ser,4
SombraSilente,No tengo ojos pero tengo visión,3
SombraSilente,Visión que no se distrae con el reflejo,3
SombraSilente,visión que penetra lo que otros no se atreven a mirar,4
SombraSilente,No todos cabalgamos hacia la luz,3
SombraSilente,algunos somos la sombra que la hace posible,4
